date,hour,lat,long,magnitude,depth,max_intensity,area
1644/01/16,05:00,7.37,-72.64,6.5,15,9,Pamplona- Norte de Santander
1644/03/16,12:00,4.54,-74.13,5.5,15,7,Ubaque- Cundinamarca
1646/04/03,02:00,5.52,-74.13,6,15,8,Muzo- Boyacá
1736/02/02,09:00,2.5,-76.5,6,15,8,Popayán- Cauca
1743/10/18,10:45,4.44,-73.83,6.2,15,8,Fómeque- Cundinamarca
1766/07/09,16:00,3.82,-76.52,6.5,15,8,Buga- Valle
1785/07/12,07:45,2.98,-74.37,7.1,10,7,Suroriente de Cundinamarca- Cundinamarca
1796/02/15,12:00,7.37,-72.64,5.5,15,7,Pamplona- Norte de Santander
1805/06/16,03:15,5.37,-74.87,6.1,15,9,Honda- Tolima
1826/06/17,22:30,5.01,-73.59,6.5,15,8,Úmbita- Boyacá
1827/11/16,18:00,1.8,-75.52,7.1,15,10,Altamira- Huila
1834/01/20,07:00,1.1,-76.93,6.7,15,9,Santiago- Putumayo
1834/05/22,03:00,11.49,-74.07,6.4,10,8,Santa Marta- Magdalena
1875/05/18,11:15,7.86,-72.42,6.8,15,10,Cúcuta- Norte de Santander
1882/09/07,03:20,10,-79,6.5,15,9,"Col&oacute,n- Col&oacute,n-Panam&aacute,"
1884/11/05,23:45,5,-75.15,6.5,120,8,Herveo- Tolima
1885/05/25,15:05,2.45,-76.81,6,60,8,El Tambo- Cauca
1903/12/01,08:00,6.78,-76.14,5.5,15,7,Frontino- Antioquia
1906/01/31,10:36,0.99,-79.35,8.4,20,10,Costa Pacífica- Pacífico
1911/04/10,13:42,6.96,-75.41,7.2,120,7,Yarumal- Antioquia
1917/08/31,06:36,3.78,-74,6.7,15,9,Villavicencio- Meta
1923/12/14,05:31,0.87,-77.78,6.2,10,9,Cumbal- Nariño
1923/12/22,04:56,4.64,-73.36,5.9,15,8,Medina- Cundinamarca
1925/06/07,18:41,4.02,-76.07,6.8,120,7.5,Tuluá- Valle
1926/12/18,20:50,1.1,-77.5,6.3,20,8,Cumbal- Nariño
1928/11/01,11:08,5.16,-73.23,5.9,15,8,Chinavita- Boyacá
1933/02/10,17:00,1.3,-78,5.5,20,8,Linares- Nariño
1935/08/07,04:00,1.05,-77.3,6.1,10,8,Tangua- Nariño
1935/09/17,23:58,5.09,-76.08,6.1,80,8,Pueblo Rico- Risaralda
1935/10/26,20:15,1.07,-77.51,5.9,10,8,Imués- Nariño
1936/01/09,23:30,1.1,-77.6,5.6,10,7,Túquerres- Nariño
1936/07/17,12:30,1.17,-77.7,6.3,10,8,Túquerres- Nariño
1938/02/04,21:23,4.68,-75.69,7,150,8,Eje Cafetero- Colombia
1942/05/22,05:30,4.5,-75,5.8,20,7,Girardot- Cundinamarca
1942/12/26,07:30,9.19,-75.84,6.2,15,8,Santa Cruz de Lorica- Córdoba
1947/07/14,02:00,1.3,-77.23,6,10,8,Pasto- Nariño
1950/07/08,21:35,7.59,-72.85,6.1,15,9,Arboledas- Norte de Santander
1952/02/14,16:03,7.36,-76.37,5.9,20,7,Mutatá- Antioquia
1953/12/22,23:45,1.09,-77.59,5.8,10,8,Guaitarilla- Nariño
1957/04/21,16:12,6.868,-72.095,6.6,120,7,Málaga- Santander
1957/05/23,21:37,3.7,-76.75,6.1,52.3,7,Suroccidente Valle del Cauca- Valle
1958/01/19,09:07,1.01,-79.49,7.6,27.5,8,Esmeraldas- Esmeraldas-Ecuador
1961/06/16,05:33,8.82,-73.41,6.5,114,7,Ocaña- Norte de Santander
1961/12/20,08:25,4.49,-75.5,6.8,163,8,Eje Cafetero- Colombia
1962/02/18,12:25,7.945,-74.81,5.8,46,7,Maceo- Antioquia
1962/07/30,15:18,5.17,-76.35,6.5,64,8,Eje Cafetero- Colombia
1966/09/04,17:16,4.6,-73.9,5.2,8,7,Choachí- Cundinamarca
1967/02/09,10:24,2.93,-74.83,7,36,10,Colombia- Huila
1967/07/29,05:24,6.747,-73.03,6.8,161,8,Betulia- Santander
1970/09/26,07:02,6.21,-77.49,6.6,15,8,Bahía Solano- Chocó
1973/04/03,08:53,4.58,-75.57,6.2,150,7,Salento- Quindío
1973/08/30,13:25,7.14,-72.76,6.3,180,8,Convención- Norte de Santander
1974/04/17,20:19,6.95,-72.9,4.8,25,7,Guaca- Santander
1974/07/12,20:18,7.696,-77.582,7.1,10,8,Costa Pacífica- Pacífico
1975/04/05,15:38,10.15,-75.56,5.7,45,6,Cartagena- Bolívar
1976/04/09,02:09,0.83,-79.57,6.6,17.4,8,Esmeraldas- Esmeraldas-Ecuador
1976/07/11,15:41,7.32,-78.11,7.3,15,8,"Dari&eacute,n- Dari&eacute,n-Panam&aacute,"
1977/08/30,19:42,7.35,-76.14,6.5,23.3,7,Apartadó- Antioquia
1979/11/23,18:40,4.79,-76.19,7.2,108,8,Eje Cafetero- Colombia
1979/12/12,02:59,1.6,-79.36,8.1,25,10,Costa Pacífica- Pacífico
1981/10/17,23:35,8.136,-72.517,5.9,30,8,Cúcuta- Norte de Santander
1983/03/31,08:12,2.45,-76.67,5.7,12,9,Popayán- Cauca
1983/11/22,09:21,0.5,-79.78,6.6,35,5,Costa Pacífica- Pacífico
1988/03/19,23:08,4.43,-73.79,4.8,13.5,6,El Calvario- Meta
1992/10/18,11:12,7.07,-76.8,7.1,10,10,Murindó- Antioquia
1993/07/21,23:57,6.38,-71.21,6.1,20,8,"Puerto Rond&oacute,n- Arauca"
1994/06/06,15:47,2.85,-76.07,6.8,12,8,Páez (Belalcázar)- Cauca
1995/01/19,10:05,5.03,-72.95,6.5,17,8,Tauramena- Casanare
1995/02/08,13:40,4.06,-76.56,6.4,71,8,"Calima (Dari&eacute,n)- Valle"
1995/02/11,17:45,12.61,-81.52,5.7,15,6,"San Andr&eacute,s- Archipi&eacute,lago de San Andr&eacute,s"
1995/03/04,18:23,1.253,-77.257,5,20,6,Pasto- Nariño
1999/01/25,13:19,4.432,-75.703,6.1,15,9,Armenia- Quindío
2004/11/15,04:06,4.81,-77.79,7.2,16,8,"Bajo Baud&oacute, (Pizarro)- Choc&oacute,"
2008/05/24,14:20,4.4,-73.81,5.9,9,8,Quetame- Cundinamarca
2013/02/09,09:16,1.11,-77.56,7,162,7,Guaitarilla- Nariño
2014/10/20,14:33,0.76,-77.95,5.8,10,6,"Cumbal-Chiles- Nari&ntilde,o"
2015/03/10,15:55,6.825,-73.134,6.3,157.7,7,Los Santos- Santander
2016/10/30,19:20,3.405,-74.636,5.2,13.2,6,Colombia- Huila
2017/10/12,14:24,7.76,-90.68,5,20,6,Tumaco- Nariño